종류,상호명,주소,위도,경도,한줄평
아시안/양식 ,타이인플레이트,서울 광진구 광나루로24길 15 103호 타이 인 플레이트,37.54577,127.07665,값이 싸와디캅~
아시안/양식 ,감성당,서울 강진구 아차산로 29길 25,37.54212,127.06849,"인스타 감성에, 와인 맥주까지?!"
아시안/양식 ,다원식당,서울 광진구 아차산로 31길 28 4층,37.54229,127.06987,희귀한 요리들을 맛 볼 수 있어!
아시안/양식 ,드로잉레시피,서울 광진구 뚝섬로 33길 45 상석빌딩,37.53713,127.07009,"아메리칸식 스테이크, 먹어볼래?"
아시안/양식 ,미분당,서울 광진구 군자로 3길 27 1층,37.5443,127.06999,혼밥세트도 있어 쌀국수 맛집!
아시안/양식 ,마초쉐프,서울 광진구 능동로 125 2층 마초쉐프 ,37.54233,127.07126,퓨전양식을 맛볼 수 있는 건대 중문 맛집
아시안/양식 ,잇타이,서울 광진구 동일로 20길 105,37.53986,127.06929,태국 맛집으로 방송에 출연했대!
아시안/양식 ,호파스타,서울 광진구 군자로 3길 23,37.54436,127.07016,"로제파스타,,, 존맛,,,,"
아시안/양식 ,메이빌,서울 광진구 아차산로29길 7 B1F,37.54145,127.06805,캐주얼 이탈리아집 그 자체
중식,천향마라탕,서울 광진구 아차산로30길 20,37.54001,127.06735,"양고기까지 추가해서 먹으면 천국,,,,"
중식,매화반점,서울 광진구 동일로 18길 105,37.53861,127.06849,"가지볶음, 한 번 먹어보고 싶지 않아?"
중식,명봉샤브샤브양꼬치,서울 광진구 뚝섬로 31길 59 광진빌딩,37.53824,127.06868,메뉴가 다양해서 선택장애 올 정도야!
중식,판쿠,서울 광진구 자양로15길 67,37.53526,127.07986,마라탕 존맛이라 배달까지 시켜먹었다고 아 ㅋㅋ
중식,춘리마라탕,서울 광진구 아차산로30길 23,37.53977,127.06744,존맛에 만두까지 맛있어 대박
중식,허씨정통중경마라샹궈,서울 광진구 아차산로30길 17,37.54009,127.06754,얼마나 맛있으면 건대에 3호점까지 차렸겠어!
중식,취헌,서울 광진구 동일로18길 35 1층,37.53973,127.06482,양꼬치에는 칭따오 아님?
중식,시옌,서울 광진구 능동로 137-8,37.54356,127.07166,"부모님과 가기에, 회식으로도 최고!"
중식,송화산시도삭면,서울 광진구 뚝섬로27길 48,37.53805,127.06651,"중국 요리, 본토의 맛이야!"
중식,돈조은날삼겹살,서울 광진구 광나루로24길 6,37.54604,127.07606,가성비 있는 냉삼 맛집
고기 ,가마로,서울 광진구 동일로 22길 100 1층 ,37.54099,127.06955,"드라이에이징 삼겹살, 도전해볼만 해"
고기 ,깍뚝,서울 광진구 능동로19길 36,37.5476,127.07178,삼겹살에 쐬주 못 참지 ㅋㅋ
고기 ,육성회비,서울 광진구 동일로 24길 19,37.54395,127.06632,"건대 육회, 육사시미 맛집"
고기 ,이항아,서울 광진구 군자로 50 1층 이항아,37.54767,127.07073,좋은 가성비로 솥뚜껑 삼겹살을?
고기 ,왕십리정곱창,서울 광진구 능동로 19길 5,37.54697,127.07347,"치즈곱창 한 번만 먹어봐,,,"
고기 ,주먹구구,서울 광진구 광나루로 404,37.54704,127.07438,단체로 저렴하고 맛있게 먹을 수 있는 고깃집
고기 ,청춘갈비 건대점,서울 광진구 동일로 24길 103 1층,37.54252,127.07075,예약하면 벌집껍데기를 서비스로 준다고?
고기 ,최신족발,서울 광진구 아차산로 29길 63,37.54371,127.06933,"족발인데, 숯불에 굽는다고?!"
고기 ,환이네갈비살 본점,서울 광진구 아차산로29길 24 1층,37.54202,127.06857,소고기는 못 참지 ㅋㅋ
고기 ,조선주막,서울 광진구 아차산로33길 28-4,37.54144,127.0706,딸기막걸리 존맛탱
술집,재즈레스토랑,서울 광진구 광나루로 360,37.54793,127.06987,안주 양 엄청 많고 소주가 2500원?! 
술집,지구상사 건대점,"서울 광진구 아차산로33길 27 2, 3층",37.54162,127.07022,지구상사 가면 지구소주는 필수!
술집,심마니,서울 광진구 아차산로31길 20-4,37.54184,127.06977,여러 종류의 막걸리와 전이 있는 맛집
술집,꼼주,서울 광진구 아차산로29길 44,37.54282,127.06911,"꼼장어, 닭발과 소주 한 잔을 원한다면.."
술집,2호선포차 건대본점,서울 광진구 아차산로31길 24,37.5421,127.06978,아 건대에는 2호선이 있어요~
술집,김창훈포차,서울 광진구 능동로13길 65 1층 김창훈포차,37.54468,127.06918,"최고의 물 맛집, 분위기 맛집!"
술집,하리네즈미 본점,서울 광진구 능동로13길 70-1,37.54494,127.0692,분위기 있는 건대 이자카야
술집,한사바리,서울 광진구 군자로 29 1층 중간자리,37.546,127.07029,연어를 감성있게 먹을 수 있어!
술집,제주도의 밤 서귀포 로맨스,서울 광진구 아차산로33길 27 1층,37.54166,127.07026,서울에서 느끼는 제주도 감성!
술집,질서정연,서울 광진구 동일로24길 50,37.54329,127.06779,와인집 같은 분위기에서 소주도 먹을 수 있다고?
